iter	Passed	Remaining
0	0	74
1	1	69
2	2	66
3	2	61
4	3	59
5	3	57
6	4	56
7	4	55
8	5	55
9	6	54
10	6	53
11	7	54
12	8	54
13	8	53
14	9	53
15	10	52
16	10	51
17	11	51
18	11	50
19	12	50
20	13	49
21	13	48
22	14	48
23	15	48
24	15	47
25	16	47
26	17	47
27	18	46
28	18	45
29	19	45
30	20	44
31	20	43
32	21	43
33	22	42
34	22	42
35	23	42
36	24	41
37	25	41
38	26	40
39	26	40
40	27	39
41	27	38
42	28	37
43	29	37
44	30	36
45	30	36
46	31	35
47	32	35
48	33	34
49	33	33
50	34	33
51	35	32
52	36	32
53	36	31
54	37	30
55	38	30
56	39	29
57	39	28
58	40	28
59	41	27
60	42	27
61	43	26
62	43	25
63	44	24
64	45	24
65	45	23
66	46	22
67	47	22
68	48	21
69	48	20
70	49	20
71	50	19
72	51	18
73	52	18
74	53	17
75	53	17
76	54	16
77	55	15
78	56	15
79	57	14
80	58	13
81	58	12
82	59	12
83	60	11
84	61	10
85	61	10
86	62	9
87	63	8
88	64	7
89	64	7
90	65	6
91	66	5
92	67	5
93	67	4
94	68	3
95	69	2
96	70	2
97	70	1
98	71	0
99	72	0
