iter	Passed	Remaining
0	49	49712
1	50	25361
2	51	17170
3	52	13039
4	53	10598
5	54	8957
6	54	7782
7	55	6897
8	56	6218
9	57	5667
10	57	5213
11	58	4840
12	59	4523
13	60	4255
14	61	4023
15	61	3809
16	62	3631
17	63	3466
18	64	3328
19	65	3209
20	66	3091
21	67	2984
22	67	2885
23	68	2792
24	69	2707
25	70	2628
26	70	2556
27	71	2485
28	72	2420
29	72	2360
30	73	2303
31	74	2249
32	75	2200
33	75	2153
34	76	2109
35	77	2069
36	77	2029
37	78	1991
38	79	1956
39	80	1928
40	81	1905
41	82	1875
42	82	1844
43	83	1816
44	84	1788
45	84	1761
46	85	1735
47	86	1711
48	87	1689
49	87	1667
50	88	1646
51	90	1650
52	91	1636
53	93	1635
54	94	1618
55	95	1605
56	96	1598
57	97	1585
58	98	1573
59	99	1559
60	100	1545
61	101	1531
62	102	1518
63	103	1506
64	103	1495
65	104	1483
66	105	1473
67	106	1463
68	107	1453
69	108	1447
70	110	1442
71	112	1447
72	113	1442
73	114	1436
74	115	1430
75	116	1421
76	117	1412
77	118	1405
78	119	1398
79	120	1389
80	121	1381
81	122	1374
82	123	1361
83	124	1354
84	125	1349
85	126	1343
86	127	1336
87	128	1329
88	129	1322
89	130	1315
90	130	1308
91	131	1301
92	132	1294
93	133	1287
94	134	1281
95	135	1274
96	136	1267
97	136	1260
98	137	1253
99	138	1246
100	139	1239
101	140	1236
102	141	1231
103	142	1226
104	143	1220
105	143	1214
106	144	1208
107	145	1202
108	146	1196
109	147	1192
110	148	1186
111	148	1180
112	149	1174
113	150	1167
114	151	1162
115	151	1156
116	152	1149
117	153	1143
118	153	1138
119	154	1133
120	155	1129
121	156	1123
122	156	1118
123	157	1112
124	158	1106
125	158	1101
126	159	1095
127	160	1090
128	160	1084
129	161	1080
130	162	1075
131	162	1070
132	163	1065
133	164	1060
134	164	1056
135	165	1051
136	166	1047
137	166	1042
138	167	1037
139	168	1032
140	168	1028
141	169	1022
142	169	1017
143	170	1015
144	171	1012
145	172	1007
146	172	1003
147	173	999
148	174	995
149	174	991
150	175	987
151	176	983
152	176	979
153	177	975
154	178	970
155	178	967
156	179	963
157	179	959
158	180	955
159	181	951
160	181	946
161	182	942
162	182	939
163	183	935
164	184	931
165	184	928
166	185	925
167	186	922
168	186	918
169	187	915
170	188	912
171	188	908
172	189	905
173	190	902
174	190	898
175	191	895
176	191	892
177	192	889
178	193	886
179	194	883
180	194	880
181	195	877
182	195	874
183	196	871
184	197	868
185	197	865
186	198	862
187	199	860
188	199	857
189	200	855
190	201	854
191	202	851
192	203	849
193	203	846
194	204	843
195	205	841
196	205	838
197	206	836
198	207	833
199	207	831
200	208	829
201	209	826
202	209	824
203	210	821
204	211	819
205	211	817
206	212	814
207	213	812
208	214	810
209	214	808
210	215	807
211	216	806
212	217	804
213	218	802
214	219	800
215	220	798
216	220	796
217	221	794
218	222	793
219	223	790
220	223	788
221	224	786
222	225	785
223	226	783
224	226	781
225	227	779
226	228	777
227	229	775
228	229	774
229	230	772
230	231	770
231	232	769
232	233	767
233	233	765
234	234	763
235	235	761
236	236	759
237	236	758
238	237	756
239	238	754
240	238	752
241	239	750
242	240	748
243	240	746
244	241	744
245	242	742
246	242	740
247	243	738
248	244	736
249	244	734
250	245	733
251	246	731
252	247	730
253	248	728
254	248	727
255	249	725
256	250	723
257	251	721
258	251	720
259	252	718
260	253	716
261	253	714
262	254	712
263	255	711
264	255	709
265	256	707
266	257	706
267	257	704
268	258	702
269	259	700
270	259	698
271	260	697
272	261	695
273	261	694
274	262	692
275	263	690
276	264	689
277	264	687
278	265	685
279	266	684
280	266	682
281	267	680
282	267	678
283	268	677
284	269	675
285	269	673
286	270	671
287	271	670
288	271	668
289	272	667
290	273	665
291	274	664
292	274	663
293	275	661
294	276	660
295	277	659
296	277	657
297	278	656
298	279	655
299	280	653
300	280	652
301	281	650
302	282	649
303	282	647
304	283	646
305	284	644
306	285	643
307	285	641
308	286	640
309	287	638
310	287	637
311	288	635
312	289	634
313	289	633
314	290	631
315	291	630
316	291	628
317	292	627
318	293	626
319	294	625
320	294	623
321	295	622
322	296	620
323	296	619
324	297	618
325	298	616
326	299	615
327	299	614
328	300	613
329	301	611
